country,influence,neighbors
Canada,0.544767,1
Lithuania,0.629437,1
Cambodia,0.782304,2
Ethiopia,0.000000,0
Argentina,0.277179,1
Saudi Arabia,0.352538,2
Bosnia and Herzegovina,0.708268,2
Russia,3.404303,13
Germany,1.830518,6
Spain,0.788034,2
Netherlands,0.000000,0
Tanzania,0.697476,1
New Zealand,0.000000,0
Yemen,0.529341,1
Pakistan,0.668251,4
Albania,0.000000,0
United Arab Emirates,0.000000,0
India,0.257652,1
Azerbaijan,0.395941,1
Kenya,0.609442,1
South Korea,0.860698,4
Tajikistan,0.218350,1
Turkey,2.074439,6
Afghanistan,0.447531,2
Bangladesh,0.000000,0
France,3.048685,9
Rwanda,0.627154,1
Slovakia,0.000000,0
Somalia,0.000000,0
Peru,0.000000,0
Norway,0.000000,0
Singapore,0.000000,0
China,3.250905,12
Armenia,0.000000,0
Ukraine,0.936195,3
Macedonia,0.000000,0
Libya,0.000000,0
Indonesia,0.493894,2
United States of America,7.330190,35
Sweden,0.000000,0
Belarus,0.281990,1
West Bank,0.640904,4
Bulgaria,0.000000,0
Romania,0.000000,0
Angola,0.000000,0
Portugal,0.000000,0
South Africa,0.873824,2
Cyprus,0.977570,2
Malaysia,0.000000,0
Austria,0.000000,0
Vietnam,0.489482,2
Uganda,0.637471,1
Japan,1.980250,7
Brazil,0.382983,1
Kuwait,0.000000,0
Ireland,0.946107,2
Nigeria,0.177432,1
Ecuador,0.000000,0
Czech Republic,0.000000,0
Australia,0.398784,3
Iran,1.348225,7
Algeria,0.000000,0
Chile,0.000000,0
Belgium,0.000000,0
Thailand,1.030077,3
Iraq,0.616669,3
Hong Kong,0.377282,1
Georgia,0.358012,2
Denmark,0.000000,0
Poland,1.498689,3
Morocco,0.000000,0
Croatia,1.439427,3
Switzerland,0.000000,0
Kosovo,0.000000,0
Lebanon,0.364886,2
Uzbekistan,0.000000,0
Tunisia,0.000000,0
Colombia,0.487176,2
Taiwan,0.912234,3
Democratic Republic of the Congo,0.000000,0
Qatar,0.000000,0
Italy,1.818742,4
Sudan,0.000000,0
Nepal,0.000000,0
Venezuela,0.312210,1
Holy See,0.000000,0
Israel,1.450341,5
Zimbabwe,0.000000,0
Jordan,1.547932,4
Kazakhstan,0.253822,1
Philippines,0.162682,1
Kyrgyzstan,0.299139,1
North Korea,0.830635,3
Latvia,0.688668,1
Hungary,0.000000,0
Syria,1.332372,5
Myanmar,0.261573,1
Mexico,0.095076,1
Egypt,1.975399,6
Cuba,0.179082,1
Serbia,0.681263,2
United Kingdom,3.956589,10
Greece,1.030039,2
Sri Lanka,0.000000,0
