country,action,relationship,gender,fitness,law,status,age,lives,species
AFG,11,113,116,21,106,73,106,93,72
AGO,88,117,112,96,51,2,81,95,63
ALB,59,100,51,22,69,111,58,30,48
AND,38,2,10,104,5,114,57,28,80
ARE,85,40,48,97,56,83,93,26,70
ARG,92,24,28,51,72,39,35,52,109
ARM,74,88,58,108,55,115,73,71,30
AUS,18,39,53,19,85,65,37,22,65
AUT,25,65,81,81,38,93,40,33,13
AZE,91,5,69,36,116,84,51,103,116
BEL,44,8,33,77,31,72,44,36,11
BGD,112,110,94,42,63,44,98,54,77
BGR,76,68,76,17,71,32,10,38,33
BHS,114,112,13,88,111,35,4,11,50
BIH,75,33,75,66,50,98,3,24,59
BLR,30,109,114,45,64,79,47,92,31
BOL,100,32,24,6,96,18,31,40,117
BRA,97,115,23,110,44,80,70,85,114
BRN,77,84,115,12,1,89,108,115,99
CAN,34,61,50,20,81,46,29,12,32
CHE,9,19,57,84,36,105,71,51,9
CHL,81,27,18,46,27,62,68,64,105
CHN,6,116,61,85,9,74,115,113,14
COL,96,44,14,15,77,6,15,29,113
CRI,69,58,45,10,73,25,46,60,101
CYP,23,28,54,70,61,43,55,49,57
CZE,57,102,32,33,29,13,13,13,61
DEU,7,35,74,73,54,107,63,45,17
DNK,8,16,102,60,28,100,67,35,4
DOM,83,50,3,31,26,10,12,17,91
DZA,110,83,62,68,22,47,23,80,52
ECU,107,23,37,23,108,8,69,90,110
EGY,86,29,98,99,40,95,94,81,47
ESP,61,73,39,64,16,82,26,55,45
EST,12,87,63,14,18,51,66,57,75
FIN,19,17,72,80,25,104,82,73,28
FRA,70,70,2,57,33,37,1,4,18
GBR,16,46,71,16,83,53,34,10,56
GEO,52,89,85,40,68,68,84,89,84
GRC,48,21,100,75,41,108,9,53,36
GTM,93,7,15,5,103,5,79,91,87
HKG,13,76,107,65,2,96,111,96,76
HND,109,95,6,61,107,11,80,109,103
HRV,58,78,79,35,10,71,28,21,34
HUN,55,98,17,44,43,17,7,7,5
IDN,78,75,64,52,7,28,101,99,85
IMN,40,59,38,113,75,88,20,1,20
IND,41,51,43,92,97,87,99,79,81
IRL,27,45,65,24,92,92,45,6,37
IRN,73,6,108,90,109,63,65,74,6
IRQ,116,66,66,102,94,49,95,15,90
ISL,3,54,96,48,78,94,36,25,22
ISR,95,63,70,74,57,31,78,8,95
ITA,60,74,49,41,32,50,5,37,8
JAM,108,85,7,53,82,76,64,5,19
JOR,99,3,95,109,87,99,105,78,7
JPN,22,1,73,93,4,86,103,117,58
KAZ,50,52,109,56,79,26,48,72,38
KEN,21,41,93,112,98,54,59,63,2
KGZ,2,82,55,101,84,36,61,98,73
KHM,64,9,8,82,45,110,117,69,86
KOR,39,31,46,103,58,103,110,110,3
KWT,84,30,105,98,34,58,100,112,29
LBN,82,47,84,106,15,78,88,59,60
LKA,4,20,104,11,90,61,97,70,35
LTU,65,79,40,4,114,14,6,39,43
LUX,24,72,44,55,42,106,86,44,25
LVA,33,111,97,25,12,45,60,88,67
MAR,98,60,41,91,59,24,24,47,23
MDA,46,77,99,47,74,41,85,94,46
MEX,94,69,30,34,60,23,33,56,102
MKD,53,43,101,72,89,112,54,111,39
MMR,1,71,92,116,65,109,22,3,107
MNE,37,22,20,67,3,55,32,87,53
MNG,63,80,22,1,48,1,2,32,12
MUS,80,97,35,105,100,77,62,108,92
MYS,54,37,67,69,13,59,107,107,93
NCL,26,10,1,94,8,16,30,23,16
NGA,62,12,103,117,102,3,19,82,1
NIC,47,91,9,3,115,40,16,20,100
NLD,14,25,86,49,19,81,75,61,21
NOR,10,13,80,76,53,102,42,19,10
NPL,115,15,87,62,117,33,83,42,78
NZL,5,36,60,26,76,60,53,27,49
OMN,106,103,12,114,52,117,109,67,42
PAK,71,18,89,100,110,116,104,41,44
PAN,90,56,4,83,14,38,72,106,98
PER,101,42,21,27,67,15,27,66,111
PHL,79,62,16,95,17,22,102,102,96
POL,49,114,83,63,35,52,76,83,27
PRI,87,34,52,13,49,30,17,84,97
PRT,51,55,42,78,6,85,41,48,89
PRY,68,101,36,7,86,42,52,76,106
PSE,45,4,88,115,112,101,113,104,24
PYF,117,93,11,39,30,7,8,65,26
QAT,66,64,59,8,91,90,96,68,74
ROU,42,94,90,18,20,56,39,75,51
RUS,32,105,111,58,21,69,91,101,41
SAU,103,38,110,111,37,57,112,97,40
SLV,105,92,31,50,11,9,92,50,104
SRB,72,107,91,9,24,64,21,34,82
SVK,67,108,26,38,39,20,14,16,15
SVN,15,104,82,59,46,67,74,77,71
SWE,28,48,68,71,88,91,50,43,69
SYR,31,11,117,89,101,27,18,18,94
THA,20,90,78,107,47,97,114,114,62
TTO,113,86,27,2,104,34,77,31,88
TUN,43,99,19,29,105,66,87,58,55
TUR,104,14,56,30,93,75,43,100,112
TWN,17,81,77,86,66,113,116,116,79
UKR,36,106,106,43,23,70,89,105,54
URY,102,49,25,79,70,19,25,46,108
USA,35,67,47,37,95,48,49,14,68
UZB,56,57,113,87,113,12,11,2,64
VEN,111,53,5,32,62,4,56,62,115
VNM,89,96,34,54,99,29,90,86,83
ZAF,29,26,29,28,80,21,38,9,66
